ID|CITY|COUN|SUBJ|SEX|AGE|RELI|PRAC|FOCC|MOCC|FIEL|EMOT|WHEN|LONG|INTS|ERGO|TROPHO|TEMPER|EXPRES|MOVE|EXP1|EXP2|EXP10|PARAL|CON|EXPC|PLEA|PLAN|FAIR|CAUS|COPING|MORL|SELF|RELA|VERBAL|NEUTRO|Field1|Field3|Field2|MYKEY|SIT|STATE|
11005|1|1|5|2|22|1|1|7|6|2|4|1|2|2|0|0|0|1|1|0|0|0|0|2|2|3|1|0|0|5|1|3|2|1|0|sadness|2|2|0110054|When one's studies seem hopelessly difficult and uninteresting.  |1|
11005|1|1|5|2|22|1|1|7|6|2|5|4|2|2|0|0|1|0|0|0|0|0|1|2|1|3|2|2|2|3|3|2|2|0|0|disgust|2|2|0110055|When one finds out that someone you know is not at all like one á had thought, for instance friends who steal and things like that, á quite unwarranted.|1|
11005|1|1|5|2|22|1|1|7|6|2|6|3|2|2|0|1|0|0|0|0|0|0|0|2|0|3|2|2|1|2|2|2|2|1|1|shame|2|2|0110056|When one has been unjust, stupid towards someone else. |1|
11005|1|1|5|2|22|1|1|7|6|2|7|3|1|1|0|1|0|0|1|0|0|0|0|2|2|3|2|2|1|5|2|1|1|2|1|guilt|1|1|0110057|When one has neglected or been unjust to a good friend.|1|
11006|1|1|6|1|23|1|2|0|0|2|1|4|2|3|1|0|0|1|0|1|0|0|1|1|0|1|1|1|0|4|1|3|0|0|0|joy|2|3|0110061|Passing an exam I did not expect to pass.|1|
11006|1|1|6|1|23|1|2|0|0|2|2|3|1|2|1|0|0|1|0|1|0|0|0|1|0|2|1|1|4|5|0|3|3|1|0|fear|1|2|0110062|When I climbed up a tree to pick apples.  The angle of the ladder á I was on did not enable me to get high enough.  This implied á that the ladder was not very stable.|1|
11006|1|1|6|1|23|1|2|0|0|2|3|4|3|3|0|0|0|0|0|0|0|0|1|1|1|3|2|1|2|5|0|0|1|0|0|anger|3|3|0110063|Friends who torture animals.|1|
11006|1|1|6|1|23|1|2|0|0|2|4|4|1|2|0|0|0|0|0|0|0|0|0|2|1|3|0|3|2|5|3|0|1|0|0|sadness|1|2|0110064|[ Same as in anger.]|1|
11006|1|1|6|1|23|1|2|0|0|2|5|4|2|4|0|0|0|0|0|0|0|0|0|1|1|3|2|1|2|1|3|0|1|0|0|disgust|2|4|0110065|Friends who torture animals.|1|
11006|1|1|6|1|23|1|2|0|0|2|6|4|1|2|0|0|0|0|0|0|0|0|0|1|1|3|2|1|2|5|0|0|1|3|0|shame|1|2|0110066|[ Same as above - friends who torture animals.]|1|
11006|1|1|6|1|23|1|2|0|0|2|7|3|1|2|0|0|0|0|0|0|0|0|0|0|2|0|1|2|0|5|1|0|0|0|0|guilt|1|2|0110067|[ When excuses are necessary and I get out of doing it myself.]|1|
11007|1|1|7|2|35|0|2|0|8|2|1|4|4|4|0|0|1|2|1|1|0|0|1|2|3|1|0|3|0|4|1|3|3|3|0|joy|4|4|0110071|When I had my children.|1|
11007|1|1|7|2|35|0|2|0|8|2|2|1|1|4|3|0|1|2|0|0|0|0|2|1|1|3|0|0|0|5|0|2|2|0|0|fear|1|4|0110072|When my 2 year old son climbed up and sat on the 7th floor á balcony with his legs hanging out.  He was holding on tightly to á the upper railing of the balcony but he could have easily lost á his balance when he sat down.|1|
11007|1|1|7|2|35|0|2|0|8|2|3|2|4|4|3|0|2|0|0|0|0|1|1|1|1|3|3|3|3|5|3|3|0|3|0|anger|4|4|0110073|When my partner was attacked and lost three teeth.|1|
11007|1|1|7|2|35|0|2|0|8|2|4|1|1|2|0|1|0|0|0|0|0|0|0|2|2|3|0|0|0|1|0|2|2|0|1|sadness|1|2|0110074|When I see children on T.V from areas devastated by drought and á war.|1|
11007|1|1|7|2|35|0|2|0|8|2|5|2|1|3|3|0|1|1|0|0|0|0|1|1|1|3|0|0|4|4|1|2|2|1|0|disgust|1|3|0110075|When I nearly walked on a blindworm and then saw it crawl away.|1|
11007|1|1|7|2|35|0|2|0|8|2|6|4|4|4|0|0|0|0|0|0|0|0|0|2|1|0|1|1|0|5|0|0|0|0|0|shame|4|4|0110076|When I saw my 18 year old son grab an oxygen mask as he had á breathing difficulties.  I had a bad conscience because I had not á stopped smoking.  Medication for the dilation of his breathing á tubes also caused a sense of guilt in me.|1|
11007|1|1|7|2|35|0|2|0|8|2|7|4|4|3|0|0|0|0|0|0|0|0|0|3|1|0|0|0|4|1|1|1|3|0|0|guilt|4|3|0110077|I experience a sense of guilt as my middle son cannot express á himself like other children, neither verbally nor in writing.|1|
11008|1|1|8|2|34|1|2|7|7|2|1|4|3|4|2|1|1|4|1|1|1|0|1|1|3|1|1|0|4|5|1|3|3|3|2|joy|3|4|0110081|When my child was born.|1|
11008|1|1|8|2|34|1|2|7|7|2|2|4|1|4|3|0|0|1|0|0|0|0|0|1|1|3|3|1|0|1|2|2|2|2|0|fear|1|4|0110082|It was winter/spring and the ice was melting.  I was far out on a á jetty and I poked the ice with a long branch to try and break it. á  The branch went through the ice and I fell in, the water closed á in over my head.|1|
11008|1|1|8|2|34|1|2|7|7|2|3|2|3|2|3|0|2|2|0|0|0|1|1|1|1|2|2|2|2|2|2|1|1|3|0|anger|3|2|0110083|Unjust accusations directed at me and my way of acting, by á someone close to me.  |1|
11008|1|1|8|2|34|1|2|7|7|2|4|3|4|2|0|1|0|1|0|0|0|0|0|2|2|3|3|2|4|4|2|1|2|0|1|sadness|4|2|0110084|Failing an examination.|1|
11008|1|1|8|2|34|1|2|7|7|2|5|3|1|2|2|1|2|0|1|0|0|0|0|3|1|3|3|0|0|3|3|1|0|0|1|disgust|1|2|0110085|A drunkard fell, started bleeding and wet himself.  Disgust that á turned into sadness-unpleasantness.|1|
11008|1|1|8|2|34|1|2|7|7|2|6|3|3|2|2|0|1|2|0|0|0|0|1|2|2|3|3|2|1|5|2|1|1|3|0|shame|3|2|0110086|When, as an adult I have been caught lying or behaving badly.|1|
11008|1|1|8|2|34|1|2|7|7|2|7|4|3|2|0|0|2|1|0|0|0|0|0|2|2|3|2|0|0|0|0|1|3|0|0|guilt|3|2|0110087|When I am in an environment or with a person much worse off than á me, I realize how privileged I am.|1|
11009|1|1|9|2|24|1|1|7|7|2|1|1|3|3|0|0|1|1|0|1|0|0|0|1|3|1|2|1|2|4|1|2|3|1|0|joy|3|3|0110091|When I saw a person I had not seen for a long time.|1|
11009|1|1|9|2|24|1|1|7|7|2|2|4|3|3|2|0|0|0|0|0|0|0|0|3|1|3|0|3|1|3|1|0|2|0|0|fear|3|3|0110092|When, as a child, I was nearly knocked down by a car.|1|
11009|1|1|9|2|24|1|1|7|7|2|3|3|3|4|0|1|0|0|0|0|0|0|0|1|2|3|2|1|3|1|3|2|0|3|1|anger|3|4|0110093|When I heard on the radio that the football match in Belgium had á ended in a catastrophe, and several people had died.  I could not á  understand how normal people could behave in such a way.|1|
11009|1|1|9|2|24|1|1|7|7|2|4|2|3|3|0|0|0|1|0|0|1|0|0|1|2|3|2|1|1|1|1|1|0|0|1|sadness|3|3|0110094|When I feel lonely, perhaps because I have to study a lot and I á am shut up in my appartment.  Nothing happens in particular á because there is no time for anything else.|1|
11009|1|1|9|2|24|1|1|7|7|2|5|1|1|2|0|0|0|1|0|0|0|0|0|1|0|3|2|1|3|1|3|0|0|1|0|disgust|1|2|0110095|When one learns through the mass media all the wars and killing á going on in the world.|1|
11009|1|1|9|2|24|1|1|7|7|2|6|4|4|4|0|0|2|0|0|0|0|0|0|3|2|3|3|3|2|2|3|1|1|1|0|shame|4|4|0110096|I lied, to be precise I cancelled a meeting with a good friend.|1|
11009|1|1|9|2|24|1|1|7|7|2|7|2|3|3|0|0|2|0|0|0|0|0|0|3|1|3|2|1|1|2|2|1|2|0|0|guilt|3|3|0110097|When one lets friends down|1|
11010|1|1|10|1|24|0|2|6|6|2|1|2|4|3|1|0|0|1|0|1|0|0|0|1|2|1|1|1|1|4|1|3|2|3|0|joy|4|3|0110101|When I was accepted for a course on finance and accounting.|1|
11010|1|1|10|1|24|0|2|6|6|2|2|4|3|3|2|0|2|1|0|0|0|0|0|2|2|3|0|0|4|5|1|2|2|1|0|fear|3|3|0110102|A bus drove over my right leg.  The event itself was not very á frightening but when I had to wait in the emergency ward for á three hours and then my leg began to swell, I was frightened.|1|
11010|1|1|10|1|24|0|2|6|6|2|3|3|4|3|2|0|0|1|1|0|0|0|0|2|2|3|3|1|3|5|1|1|1|1|0|anger|4|3|0110103|At my Summer job, nobody looked after me in particular and I had á to learn all on my own.|1|
11010|1|1|10|1|24|0|2|6|6|2|4|3|4|3|0|1|0|0|0|0|0|0|0|2|2|3|3|2|1|5|0|1|1|2|1|sadness|4|3|0110104|When I was not accepted as a student in finance and accounting.|1|
11010|1|1|10|1|24|0|2|6|6|2|5|3|1|3|1|0|0|0|0|0|0|0|0|1|2|3|1|0|3|5|0|2|2|1|0|disgust|1|3|0110105|When I had just moved into my new appartment I found a ventilator á in the kitchen.  I was going to clean it when I found that the á drum was full of mud and slime.  I felt disgusted.|1|
11010|1|1|10|1|24|0|2|6|6|2|6|2|2|2|0|0|0|0|0|0|0|0|0|1|2|3|2|2|1|2|2|1|1|0|0|shame|2|2|0110106|My elder brother and I have not always had a good relationship á and I feel ashamed of myself as I do not call him to talk to him á nowadays.|1|
11010|1|1|10|1|24|0|2|6|6|2|7|3|4|1|0|0|0|0|1|0|0|0|0|1|1|3|2|2|1|2|2|2|1|0|0|guilt|4|1|0110107|At my Summer job a new caretaker had been employed who was my age á  but I preferred going out for lunch with the accounts personnel á rather than with him.|1|
11011|1|1|11|1|25|1|2|7|6|2|1|3|3|2|0|0|0|0|1|0|0|0|0|2|2|1|1|2|1|3|1|3|2|0|0|joy|3|2|0110111|Passed an exam by 2 points.|1|
11011|1|1|11|1|25|1|2|7|6|2|2|4|1|2|3|1|0|0|0|0|0|0|0|3|2|2|0|3|4|3|1|2|2|0|1|fear|1|2|0110112|In a cottage in a large forest, I was alone for a while in the á dark.|1|
11011|1|1|11|1|25|1|2|7|6|2|3|3|3|2|3|0|0|1|0|0|0|0|1|1|2|0|0|1|3|4|2|3|0|2|0|anger|3|2|0110113|When I spoke to Jan-Erik Wikstr÷m on the telephone. |1|
11011|1|1|11|1|25|1|2|7|6|2|4|2|4|2|0|2|0|0|0|0|0|0|0|3|2|1|0|1|2|4|2|0|0|0|2|sadness|4|2|0110114|Railway station good-bye.|1|
11011|1|1|11|1|25|1|2|7|6|2|5|4|1|3|1|1|0|0|0|0|0|0|0|2|1|3|0|0|4|3|0|2|2|2|1|disgust|1|3|0110115|I saw a cripple in rags with small children in Italy.  He was á probably an imposter.|1|
11011|1|1|11|1|25|1|2|7|6|2|6|4|4|3|0|0|2|1|0|0|0|0|0|1|1|3|0|1|1|5|2|1|2|2|0|shame|4|3|0110116|I told a friend that I was going to a party and he would not á enjoy himself if he came along.  He understood  that he would not á have fitted in and there was something in that.|1|
11011|1|1|11|1|25|1|2|7|6|2|7|2|4|4|1|2|0|1|0|0|0|0|1|3|2|1|3|0|0|0|3|1|0|1|2|guilt|4|4|0110117|I was the reason behind the break-up of my friend's relationship á with his girlfriend.  She finished with him.|1|
11012|1|1|12|1|23|1|2|7|6|2|1|1|3|3|0|0|1|1|0|1|0|0|0|1|1|1|1|0|4|4|3|0|0|0|0|joy|3|3|0110121|I passed an exam that I was absolutely certain that I had failed.|1|
11012|1|1|12|1|23|1|2|7|6|2|2|3|2|4|1|0|1|1|0|0|0|0|0|1|2|3|0|1|4|5|1|3|3|1|0|fear|2|4|0110122|On the way back from Denmark with a friend on a small yatch, á there was a storm and my friend was blown overboard;  I was very á scared till I managed to get him back onboard.|1|
11012|1|1|12|1|23|1|2|7|6|2|3|1|2|3|2|0|0|1|0|0|0|0|0|1|1|2|0|0|1|4|1|2|2|2|0|anger|2|3|0110123|I locked myself out.|1|
11012|1|1|12|1|23|1|2|7|6|2|4|1|3|3|0|0|0|1|0|0|0|0|0|1|1|2|3|1|1|1|1|2|0|0|0|sadness|3|3|0110124|I missed the last tram home and had to walk in the pouring rain.|1|
11012|1|1|12|1|23|1|2|7|6|2|5|3|4|4|1|0|1|1|0|0|0|1|0|1|1|3|0|0|2|1|3|2|1|3|0|disgust|4|4|0110125|I found some worms in the food and I had obviously eaten some.|1|
11012|1|1|12|1|23|1|2|7|6|2|6|4|4|3|0|0|0|0|1|0|0|0|0|3|1|3|0|1|2|3|3|2|2|0|0|shame|4|3|0110126|My friend was so intoxicated that the police came and took him á away, and they later contacted his parents.|1|
11012|1|1|12|1|23|1|2|7|6|2|7|1|1|2|0|0|1|0|0|0|0|0|0|1|3|0|0|0|2|4|2|2|2|0|0|guilt|1|2|0110127|I hapened to overhear something which I was not meant to hear.|1|
11013|1|1|13|2|22|1|2|7|4|2|1|4|3|4|1|0|0|1|0|1|0|0|0|1|1|1|0|0|4|4|0|0|0|3|0|joy|3|4|0110131|When I won a trip to Greece in a competition.|1|
11013|1|1|13|2|22|1|2|7|4|2|2|3|1|3|1|1|0|0|1|0|0|0|0|1|2|3|0|0|3|2|0|0|1|0|1|fear|1|3|0110132|When I am out in the dark and a suspicious looking character á comes towards me.|1|
11013|1|1|13|2|22|1|2|7|4|2|3|1|1|3|1|0|0|3|0|0|0|0|0|1|1|3|0|3|3|4|3|2|1|1|0|anger|1|3|0110133|At work, when an elderly man complained unjustifiably about me and á distrusted me.|1|
11013|1|1|13|2|22|1|2|7|4|2|4|1|2|3|0|0|0|1|0|0|1|0|1|1|2|3|2|2|0|5|1|2|2|3|1|sadness|2|3|0110134|When I had not understood anything after a lecture.|1|
11013|1|1|13|2|22|1|2|7|4|2|5|2|1|2|0|1|0|1|1|0|0|0|2|0|0|0|3|3|2|4|0|0|0|0|1|disgust|1|2|0110135|When an alcoholic stood dribbling over a food counter.|1|
11013|1|1|13|2|22|1|2|7|4|2|6|2|1|1|0|0|2|1|0|1|0|0|0|1|3|0|1|0|1|5|1|2|2|0|0|shame|1|1|0110136|When my friend and I were discussing the good looks of a guy we á realized that he had been listening.|1|
11013|1|1|13|2|22|1|2|7|4|2|7|1|3|2|0|0|0|0|0|0|0|0|0|3|2|3|0|1|1|2|2|2|0|0|0|guilt|3|2|0110137|When I complained about a colleague to the manager and he told á her that someone had complained; this colleague came to me á believing that I liked her.|1|
11014|1|1|14|1|23|0|0|7|4|2|1|2|3|3|0|0|1|1|1|1|0|0|0|1|3|1|1|1|2|4|1|3|3|0|0|joy|3|3|0110141|At a friend's birthday party with some of my closest friends.  It á was all very pleasant and one could say that I was happy to have á such good friends.|1|
11014|1|1|14|1|23|0|0|7|4|2|2|1|1|2|1|0|0|0|0|0|0|0|0|0|2|3|0|3|1|5|0|2|0|0|0|fear|1|2|0110142|On the way home one Friday night in the heavy rain the car á acquaplanned.  I lost contact with the road surface for a few á seconds.|1|
11014|1|1|14|1|23|0|0|7|4|2|3|1|1|2|1|0|0|1|0|0|0|0|1|2|2|3|3|2|2|2|2|2|1|0|0|anger|1|2|0110143|Mad at my dad.|1|
11014|1|1|14|1|23|0|0|7|4|2|4|3|3|3|0|0|0|1|0|0|1|0|0|3|2|3|3|3|0|1|1|1|1|0|1|sadness|3|3|0110144|A case of unrequited love.|1|
11014|1|1|14|1|23|0|0|7|4|2|5|2|1|3|0|1|0|0|1|0|0|0|0|3|1|3|2|3|3|2|1|2|1|0|1|disgust|1|3|0110145|A bad smelling cucumber.|1|
11014|1|1|14|1|23|0|0|7|4|2|6|2|1|3|0|0|2|1|0|0|0|0|0|1|3|3|3|1|2|4|2|2|3|3|0|shame|1|3|0110146|Nearly caught masturbating.|1|
11014|1|1|14|1|23|0|0|7|4|2|7|1|1|1|0|0|0|0|0|0|0|0|0|0|0|0|2|2|2|5|3|0|1|1|0|guilt|1|1|0110147|I do not help out enough at home.|1|
11015|1|1|15|1|26|0|2|7|6|2|1|3|3|3|1|0|0|2|0|1|0|0|1|2|1|1|1|1|1|4|2|2|0|0|0|joy|3|3|0110151|I felt very happy when I won the football pools.|1|
11015|1|1|15|1|26|0|2|7|6|2|2|2|2|3|1|1|0|0|1|0|0|0|0|2|1|3|2|3|4|4|1|2|2|2|1|fear|2|3|0110152|When I flew from Athens to Copenhagen after a holiday.  The plane á was caught in a storm and it began to shake and I thouhght that á we were going to crash.|1|
11015|1|1|15|1|26|0|2|7|6|2|3|3|3|3|0|0|2|0|0|0|0|0|0|0|0|1|1|1|2|2|0|3|2|1|0|anger|3|3|0110153|When someone stole my bike.|1|
11015|1|1|15|1|26|0|2|7|6|2|4|1|1|0|1|0|0|1|0|0|1|0|0|1|1|2|2|0|0|4|2|2|0|0|1|sadness|1|0|0110154|When I saw the list of books to read for an acccouting course, I á thought \ Oh God how will I ever manaage it!\""|1|
11015|1|1|15|1|26|0|2|7|6|2|5|1|1|2|0|2|0|1|0|1|0|0|0|1|1|2|2|1|3|4|1|2|2|1|2|disgust|1|2|0110155|It was when I read a newspaper article on the future and they á foresaw that we would be eating frog-burgers by the year 2000.  á An illustration showed a frog between two pieces of bread.|1|
11015|1|1|15|1|26|0|2|7|6|2|6|4|4|4|1|0|1|0|1|0|0|0|1|3|2|3|1|1|1|5|3|1|2|0|0|shame|4|4|0110156|When I dropped a bottle in the state liquor store and everyboby á started laughing.|1|
11015|1|1|15|1|26|0|2|7|6|2|7|2|2|3|1|0|2|0|0|0|0|0|1|3|1|3|3|2|1|3|1|2|1|0|0|guilt|2|3|0110157|When I was young - 14, I pinched from a store and was caught.  á The store then contacted my parents.|1|
11016|1|1|16|2|33|1|2|4|4|2|1|3|4|3|0|0|1|1|1|1|0|0|1|1|2|1|1|1|2|4|1|3|3|0|0|joy|4|3|0110161|When the whole family gets together for a one week holiday.  á Everybody feels free and the trip is well planned.  It works out á well and we enjoy ourselves.|1|
11016|1|1|16|2|33|1|2|4|4|2|2|4|2|4|4|1|1|1|1|0|0|0|0|1|1|3|3|3|1|1|1|1|3|1|1|fear|2|4|0110162|When I could not find my 2 year old daughter.  I ran and looked á for her everywhere and could not find her.  (I finally found her, á she had gone to bed to sleep)|1|
11016|1|1|16|2|33|1|2|4|4|2|3|4|4|4|1|0|0|1|0|0|0|0|0|3|1|3|3|3|2|3|3|1|1|0|0|anger|4|4|0110163|When friends try to put me down or hurt me.  |1|
11016|1|1|16|2|33|1|2|4|4|2|4|4|4|4|2|2|0|2|1|0|1|0|0|3|3|3|3|1|0|1|0|1|1|0|3|sadness|4|4|0110164|Marriage crises.  Boredom.|1|
11016|1|1|16|2|33|1|2|4|4|2|5|4|2|4|1|1|1|0|1|0|0|0|0|1|2|3|3|2|2|3|2|1|1|0|1|disgust|2|4|0110165|When someone makes advances that one does not want.|1|
11016|1|1|16|2|33|1|2|4|4|2|6|3|2|3|1|0|1|0|0|0|0|0|0|3|1|3|3|3|1|5|3|1|3|1|0|shame|2|3|0110166|The discovery that one has only thought of oneself.|1|
11016|1|1|16|2|33|1|2|4|4|2|7|4|4|4|2|1|1|1|0|0|0|0|1|3|2|3|3|3|1|1|3|1|3|2|1|guilt|4|4|0110167|When I spanked a child in anger and later regretted it terribly.|1|
11017|1|1|17|2|23|1|0|9|5|2|1|1|2|3|0|0|1|1|0|1|0|0|0|2|2|1|1|1|1|4|1|3|3|2|0|joy|2|3|0110171|When I passed the first examination that I had to repeat.|1|
11017|1|1|17|2|23|1|0|9|5|2|2|4|3|3|1|0|0|0|0|0|0|0|0|3|2|3|3|1|1|1|2|1|1|0|0|fear|3|3|0110172|When I drove to Stockholm for the first time and drove off the á Stora Hissingen road at the wrong exit.|1|
11017|1|1|17|2|23|1|0|9|5|2|3|2|4|3|1|0|0|1|0|0|1|0|0|2|2|3|3|3|2|1|1|1|1|0|1|anger|4|3|0110173|When my boyfriend went away for a month long holiday without me.|1|
